Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,National,Jeollabuk-do,Previous,Jeonbuk National University _Principal university,"1,011",643,424,41,155,23,0,5,363,177,186,0,0,265,192,3,71.5
2023,College of Education,National,Jeollabuk-do,Previous,Jeonju National University Of Education _Principal university,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Jeollabuk-do,Previous,Jeonju University _Principal university,548,548,375,41,69,63,0,0,0,0,0,0,0,226,0,0,41.2
2023,University,Private,Chungcheongnam-do,Previous,Joongbu University _Principal university,710,569,323,123,55,68,0,0,141,127,14,0,0,103,42,3,26
2023,University,Private,Chungcheongbuk-do,Previous,Jungwon University _Principal university,45,45,31,4,3,7,0,0,0,0,0,0,0,17,0,0,37.8
2023,University,Private,Gyeonggi-do,Previous,Kangnam University _Principal university,124,105,93,0,9,3,0,6,13,0,13,0,0,8,0,0,7.6
2023,University,National,Gangwon-do,Previous,Kangwon National University _Campus 2,40,40,14,5,9,12,0,0,0,0,0,0,0,12,0,0,30
2023,University,National,Gangwon-do,Previous,Kangwon National University _Principal university,393,167,112,21,25,9,0,0,226,155,71,0,0,92,0,0,55.1
2023,University,Private,Gyeongsangnam-do,Previous,Kaya University _Principal university,17,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Daegu,Previous,Keimyung University _Principal university,"1,719","1,068",786,24,121,137,0,0,651,460,191,0,0,457,27,0,45.3
